^8556^;^6^;^57.9^
^8557^;^1^;^170.9^
^8558^;^10^;^54.9^
^8559^;^1^;^161.9^
^8562^;^0^;^491.9^
^8560^;^6^;^49.9^
^8561^;^3^;^145.9^
^8300^;^30^;^3.9^
^8303^;^3^;^45.9^
^8301^;^5^;^10.9^
^8491^;^0^;^3.9^
^8492^;^37^;^5.9^
^8494^;^31^;^3.9^
^8304^;^100^;^3.9^
^8565^;^6^;^44.9^
^8305^;^76^;^10.9^
^8308^;^9^;^25.9^
^8307^;^67^;^3.9^
^8504^;^13^;^49.9^
^8501^;^58^;^11.9^
^13134^;^3^;^145.9^
^8310^;^40^;^17.9^
^8309^;^68^;^2.9^
^8503^;^43^;^34.9^
^8500^;^96^;^8.9^
^8297^;^8^;^18.9^
^8296^;^77^;^3.9^
^8299^;^9^;^27.9^
^8298^;^52^;^4.9^
^8495^;^19^;^3.9^
^8493^;^31^;^4.9^
^8311^;^54^;^4.9^
^8312^;^12^;^14.9^
^8520^;^20^;^8.9^
^8474^;^40^;^3.9^
^8473^;^28^;^2.9^
^8475^;^100^;^3.9^
^8424^;^32^;^1.9^
^8410^;^0^;^39.9^
^8408^;^2^;^32.9^
^8409^;^0^;^38.9^
^12747^;^0^;^301.9^
